title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Das Boot - Die komplette TV-Serie,tv,"Drama, War",1985.0,8.7,161.0,"AT, CH, DE, LI",8.444444444444445,High
Oshi No Ko,tv,"Animation, Drama, Fantasy",2023.0,8.3,10951.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CY, DE, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PH, PK, PS, PY, QA, RS, SA, SC, SG, SI, SK, SM, SN, SV, TC, TH, TN, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Cosy Dens,movie,"Comedy, Drama",1999.0,8.1,6406.0,"CZ, SK",8.444444444444445,High
Army of Shadows,movie,"Drama, War",1969.0,8.1,27057.0,"AD, FR, GF, MC, PF",8.444444444444445,High
Banana Fish,tv,"Action, Adventure, Animation",2018.0,8.2,9551.0,"JP, KR",8.444444444444445,High
If My Wife Becomes an Elementary School Student.,tv,"Drama, Family",2022.0,8.1,217.0,"AG, AL, AO, AR, AT, AU, AZ, BA, BB, BG, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DO, EC, EE, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HN, ID, IE, IN, IS, JM, JP, KE, KR, LC, LI, LT, LU, LV, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NZ, PA, PE, PF, PH, PK, PY, RS, SC, SG, SI, SK, SN, SV, TH, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW",8.444444444444445,High
The Red Balloon,movie,"Comedy, Drama, Family",1956.0,8.1,20662.0,LV,8.444444444444445,High
Yellowstone,tv,"Drama, Western",2018.0,8.6,249367.0,"AG, AL, AO, AR, AT, AZ, BA, BB, BG, BO, BR, BZ, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, EC, EE, FI, GF, GH, GQ, GR, GT, HN, HU, ID, IL, IN, IS, JM, KE, LC, LT, LV, MD, ME, MG, MK, ML, MU, MX, MZ, NE, NG, NI, NO, NZ, PA, PE, PH, PL, PY, RO, RS, SC, SE, SG, SI, SK, SN, SV, TC, TH, TT, TZ, UA, UG, UY, VE, ZA, ZM, ZW",8.444444444444445,High
The Rookie,tv,"Action, Crime, Drama",2018.0,8.0,86633.0,"AL, AT, AU, AZ, BE, BG, BY, CH, CI, CM, CV, CY, CZ, DE, DK, EE, FI, FJ, FR, GF, GH, GQ, HR, HU, IS, IT, KE, LI, LT, LU, LV, MC, MD, MG, ML, MU, MZ, NG, NL, NO, NZ, PF, PL, RO, SC, SE, SI, SK, SM, SN, TZ, UA, UG, ZA, ZM, ZW",8.444444444444445,High
Jujutsu Kaisen,tv,"Action, Adventure, Animation",2020.0,8.5,139021.0,"AD, AL, AO, AR, AT, AU, BA, BG, BO, BR, CA, CH, CI, CL, CM, CO, CR, CV, CY, DE, DO, EC, EE, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IN, IS, IT, JP, KE, KR, LI, LT, LU, LV, MC, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, PA, PE, PF, PH, PK, PY, RS, SC, SG, SI, SK, SM, SN, SV, TH, TW, TZ, UG, US, UY, ZA, ZM, ZW",8.444444444444445,High
